method,positive_1,all_labels
shap_vs_ig,0.0001 ± 0.0011,0.0001 ± 0.0010
shap_vs_deeplift,0.0004 ± 0.0012,0.0005 ± 0.0012
shap_vs_occlusion,0.0232 ± 0.0161,0.0246 ± 0.0186
shap_vs_gradcam,0.1575 ± 0.0767,0.1692 ± 0.0812
ig_vs_deeplift,0.0003 ± 0.0006,0.0003 ± 0.0006
ig_vs_occlusion,0.0231 ± 0.0161,0.0245 ± 0.0185
ig_vs_gradcam,0.1575 ± 0.0767,0.1692 ± 0.0812
deeplift_vs_occlusion,0.0233 ± 0.0170,0.0247 ± 0.0188
deeplift_vs_gradcam,0.1572 ± 0.0757,0.1687 ± 0.0803
occlusion_vs_gradcam,0.1723 ± 0.0832,0.1885 ± 0.0936
