epoch,step,train_loss,val_loss,val_rmse
0,49,0.23224830627441406,,
0,79,,0.22847047448158264,0.6752938628196716
1,99,0.20159116387367249,,
1,149,0.2089402675628662,,
1,159,,0.21342870593070984,0.6567838191986084
2,199,0.17605943977832794,,
2,239,,0.19871388375759125,0.6052733659744263
3,249,0.20997996628284454,,
3,299,0.17191122472286224,,
3,319,,0.15622331202030182,0.4763180613517761
4,349,0.15832865238189697,,
4,399,0.0980348214507103,,
4,399,,0.13248251378536224,0.4019542336463928
5,449,0.1499432623386383,,
5,479,,0.12755873799324036,0.4025590121746063
6,499,0.10547063499689102,,
6,549,0.10166897624731064,,
6,559,,0.11968321353197098,0.3926437199115753
7,599,0.11166953295469284,,
7,639,,0.12223131209611893,0.3943558931350708
8,649,0.13103793561458588,,
8,699,0.11595974117517471,,
8,719,,0.12177281826734543,0.39588430523872375
9,749,0.0991865023970604,,
9,799,0.2184026837348938,,
9,799,,0.11945613473653793,0.39151397347450256
10,849,0.1457919329404831,,
10,879,,0.11484920233488083,0.3855859041213989
11,899,0.11899115890264511,,
11,949,0.11886169761419296,,
11,959,,0.11274856328964233,0.3865411877632141
12,999,0.09250049293041229,,
12,1039,,0.1123652383685112,0.38463059067726135
13,1049,0.11980243027210236,,
13,1099,0.10805823653936386,,
13,1119,,0.11302248388528824,0.3819998502731323
14,1149,0.10504068434238434,,
14,1199,0.09986332803964615,,
14,1199,,0.11243453621864319,0.38831841945648193
15,1249,0.1053769513964653,,
15,1279,,0.11328249424695969,0.38286417722702026
16,1299,0.10050948709249496,,
16,1349,0.11927049607038498,,
16,1359,,0.11511247605085373,0.3890917897224426
17,1399,0.11336114257574081,,
17,1439,,0.11194214969873428,0.3852348327636719
18,1449,0.1223900243639946,,
18,1499,0.12858819961547852,,
18,1519,,0.10817203670740128,0.38055431842803955
19,1549,0.09089114516973495,,
19,1599,0.11276064068078995,,
19,1599,,0.10736150294542313,0.3807065784931183
20,1649,0.10043879598379135,,
20,1679,,0.1059349849820137,0.38245996832847595
21,1699,0.0936543270945549,,
21,1749,0.13991865515708923,,
21,1759,,0.10588769614696503,0.3791886866092682
22,1799,0.09172826260328293,,
22,1839,,0.10869128257036209,0.38160383701324463
23,1849,0.11923310905694962,,
23,1899,0.07756711542606354,,
23,1919,,0.10554435104131699,0.37861454486846924
24,1949,0.09885534644126892,,
24,1999,0.12344960868358612,,
24,1999,,0.10515560954809189,0.3814474642276764
25,2049,0.08198221772909164,,
25,2079,,0.10268327593803406,0.37790271639823914
26,2099,0.08192836493253708,,
26,2149,0.09890604019165039,,
26,2159,,0.10306733101606369,0.37807178497314453
27,2199,0.09794574230909348,,
27,2239,,0.1042000949382782,0.38187724351882935
28,2249,0.1009279265999794,,
28,2299,0.08570914715528488,,
28,2319,,0.1060556024312973,0.3836805522441864
29,2349,0.10136085003614426,,
29,2399,0.09424922615289688,,
29,2399,,0.10522900521755219,0.38330376148223877
30,2449,0.09346362203359604,,
30,2479,,0.10756229609251022,0.3807186186313629
31,2499,0.08893463760614395,,
31,2549,0.0927460640668869,,
31,2559,,0.10751472413539886,0.3829153776168823
32,2599,0.10255350172519684,,
32,2639,,0.10616043955087662,0.3821113109588623
33,2649,0.07697872072458267,,
33,2699,0.11615437269210815,,
33,2719,,0.10521981120109558,0.3863128125667572
34,2749,0.10405784845352173,,
34,2799,0.11173234134912491,,
34,2799,,0.10393217206001282,0.3796766400337219
35,2849,0.08659064769744873,,
35,2879,,0.10203574597835541,0.3769417703151703
36,2899,0.08645704388618469,,
36,2949,0.10533108562231064,,
36,2959,,0.10535767674446106,0.38417357206344604
37,2999,0.10694596916437149,,
37,3039,,0.10335638374090195,0.3816134035587311
38,3049,0.09384695440530777,,
38,3099,0.08604434877634048,,
38,3119,,0.1022752970457077,0.3781033754348755
39,3149,0.08467549085617065,,
39,3199,0.08757787197828293,,
39,3199,,0.10397857427597046,0.3792213499546051
40,3249,0.09663182497024536,,
40,3279,,0.1044284924864769,0.38104379177093506
41,3299,0.0994764193892479,,
41,3349,0.09133230149745941,,
41,3359,,0.10210010409355164,0.37949642539024353
42,3399,0.10737829655408859,,
42,3439,,0.10503487288951874,0.37973880767822266
43,3449,0.10841809958219528,,
43,3499,0.10004612058401108,,
43,3519,,0.1024138480424881,0.3809930980205536
44,3549,0.08637301623821259,,
44,3599,0.05428751930594444,,
44,3599,,0.10080885142087936,0.37942859530448914
45,3649,0.09953375905752182,,
45,3679,,0.10086309909820557,0.38071712851524353
46,3699,0.08617355674505234,,
46,3749,0.10665412247180939,,
46,3759,,0.10146956145763397,0.37750741839408875
47,3799,0.09310559928417206,,
47,3839,,0.10420545935630798,0.38051000237464905
48,3849,0.09202271699905396,,
48,3899,0.10111794620752335,,
48,3919,,0.10595444589853287,0.38259977102279663
49,3949,0.12971001863479614,,
49,3999,0.04708975553512573,,
49,3999,,0.10853883624076843,0.38506409525871277
50,4049,0.11513727903366089,,
50,4079,,0.10916350036859512,0.3835771679878235
51,4099,0.12003709375858307,,
51,4149,0.11261572688817978,,
51,4159,,0.10342791676521301,0.3808685541152954
52,4199,0.1034710630774498,,
52,4239,,0.10420399904251099,0.3808552026748657
53,4249,0.10048460215330124,,
53,4299,0.11775379627943039,,
53,4319,,0.1044304147362709,0.38082414865493774
54,4349,0.08009722828865051,,
54,4399,0.08747732639312744,,
54,4399,,0.1008598729968071,0.37726032733917236
